DATE,CO,NOx,H2S,SO2,PM10,VV,DV,Temp,U.R.,Press,Pluv
2015-01-01,0.27,11.64,0.25,1.03,0.00,4.07,315.94,-3.71,54.64,1030.72,0.00
2015-01-02,0.44,45.95,0.30,0.82,0.00,0.98,242.81,-1.15,61.40,1028.73,0.00
2015-01-03,1.20,132.52,0.30,1.13,0.00,1.40,283.13,2.22,74.90,1023.23,0.00
2015-01-04,0.77,114.42,0.30,1.09,0.00,1.93,285.94,2.54,84.26,1013.30,0.04
2015-01-05,0.43,64.02,0.33,1.02,0.00,1.97,293.44,2.51,72.70,1015.58,0.04
2015-01-06,0.25,36.53,0.41,0.71,0.00,2.58,315.90,1.29,66.00,1016.07,0.00
2015-01-07,0.20,14.55,0.48,0.62,0.00,2.67,324.90,-5.31,62.14,1031.50,0.00
2015-01-08,0.49,36.98,0.53,0.29,0.00,1.26,227.81,-5.46,65.43,1039.32,0.00
2015-01-09,0.67,72.14,0.57,0.32,0.00,2.44,285.94,-3.35,70.14,1030.99,0.00
2015-01-10,1.01,133.36,0.49,0.69,0.00,2.16,272.81,4.37,77.25,1013.30,0.00
2015-01-11,1.27,188.44,0.53,1.14,0.00,1.91,277.50,8.23,80.91,1010.81,0.00
2015-01-12,0.70,100.64,0.60,1.25,0.00,1.86,277.50,4.14,89.77,1018.06,1.79
2015-01-13,0.60,96.24,0.50,1.16,0.00,0.65,232.50,2.31,85.54,1028.86,0.00
2015-01-14,0.83,100.86,0.55,0.97,0.00,0.74,213.75,1.54,84.36,1022.50,0.04
2015-01-15,0.92,124.35,0.59,0.56,0.00,1.97,277.50,3.19,84.99,1017.81,0.00
2015-01-16,0.64,86.99,0.48,0.23,0.00,1.26,184.69,4.24,86.10,1025.27,0.08
2015-01-17,0.52,78.51,0.50,0.30,0.00,1.11,221.25,2.24,93.52,1026.45,0.00
2015-01-18,0.75,89.71,0.44,0.24,0.00,2.47,264.38,3.69,92.11,1024.09,0.00
2015-01-19,0.91,123.55,0.44,0.60,0.00,1.17,238.50,8.72,87.61,1017.49,0.00
2015-01-20,0.94,158.05,0.55,0.89,0.00,0.86,220.31,7.99,92.55,1016.30,0.00
2015-01-21,1.41,218.80,0.54,1.21,0.00,0.78,229.50,8.42,92.34,1017.21,0.04
2015-01-22,0.43,60.96,0.52,1.27,0.00,1.14,106.88,7.48,95.52,1019.83,0.04
2015-01-23,0.21,39.77,0.40,1.10,0.00,2.77,90.94,7.61,91.75,1014.45,0.00
2015-01-24,0.50,63.27,0.40,1.13,0.00,1.16,121.88,7.05,93.10,1008.05,0.00
2015-01-25,0.20,39.46,0.40,0.68,0.00,1.79,78.75,8.15,94.02,1011.09,0.88
2015-01-26,0.25,62.42,0.40,0.97,0.00,1.10,218.44,5.79,91.77,1019.45,0.83
2015-01-27,0.20,68.04,0.39,0.89,0.00,1.16,73.13,5.20,91.53,1016.53,0.21
2015-01-28,0.44,120.76,0.28,0.00,0.00,2.81,295.31,4.83,91.61,1011.29,2.83
2015-01-29,0.35,98.69,0.29,0.00,0.00,0.58,174.38,5.28,90.14,1010.56,0.00
2015-01-30,0.29,73.55,0.25,0.45,0.00,1.39,178.13,9.07,84.45,1000.00,0.04
2015-01-31,0.11,8.24,0.20,1.04,0.00,2.96,127.50,11.81,81.32,992.40,3.58
