DATE,EST,NORD,UP,Temp,pH,SpCond,Salinit,Turb,HDO,HDO,bg_cell,Chl,CO,NO2,NO3+NO2,PO4,NH3,Cab pow
2015-01-01,-7.60,1.40,-0.56,7.23,8.32,22420.57,13.43,-,85.22,9.20,-,-,-,-,-,-,-,-
2015-01-02,-6.27,1.01,-0.22,6.35,8.37,22080.84,13.18,-,84.89,9.37,-,-,-,-,-,-,-,-
2015-01-03,-5.28,3.53,-1.01,6.67,8.39,22690.02,13.58,-,81.99,8.96,-,-,-,-,-,-,-,-
2015-01-04,-4.99,0.45,-1.18,6.28,8.36,21462.58,12.78,-,80.98,8.99,-,-,-,-,-,-,-,-
2015-01-05,-4.15,-0.18,-2.40,6.76,8.43,22609.77,13.53,-,82.58,9.01,-,-,-,-,-,-,-,-
2015-01-06,-6.26,0.00,-1.13,6.73,8.43,22264.27,13.31,-,84.57,9.24,-,-,-,-,-,-,-,-
2015-01-07,-9.57,3.05,-1.43,6.47,8.36,22090.09,13.19,-,85.67,9.43,-,-,-,-,-,-,-,-
2015-01-08,-2.27,3.31,-1.55,5.83,8.35,21126.18,12.55,-,86.79,9.75,-,-,-,-,-,-,-,-
2015-01-09,-3.08,-1.37,-1.01,5.39,8.36,20661.90,12.23,-,85.54,9.74,-,-,-,-,-,-,-,-
2015-01-10,-10.23,4.75,-2.16,5.84,8.35,21508.47,12.79,-,86.26,9.67,-,-,-,-,-,-,-,-
2015-01-11,-9.17,2.69,-1.96,5.78,8.38,21329.42,12.67,-,87.35,9.81,-,-,-,-,-,-,-,-
2015-01-12,-10.79,1.29,-1.91,5.93,8.36,21765.95,12.96,-,86.14,9.62,-,-,-,-,-,-,-,-
2015-01-13,-8.72,0.81,-0.50,5.38,8.34,19536.10,11.52,-,86.46,9.89,-,-,-,-,-,-,-,-
2015-01-14,-2.58,3.32,-1.18,5.72,8.28,20164.60,11.93,-,86.25,9.76,-,-,-,-,-,-,-,-
2015-01-15,-5.21,4.03,-0.67,6.33,8.27,21809.09,13.00,-,88.52,9.79,-,-,-,-,-,-,-,-
2015-01-16,-6.27,1.55,0.77,6.02,8.25,20532.27,12.17,-,89.63,10.05,-,-,-,-,-,-,-,-
2015-01-17,-3.38,-6.02,0.11,6.26,8.25,20852.03,12.38,-,87.94,9.78,-,-,-,-,-,-,-,-
2015-01-18,-0.52,2.73,-0.89,6.69,8.24,21394.68,12.75,-,84.12,9.24,-,-,-,-,-,-,-,-
2015-01-19,-7.27,5.16,-1.80,6.68,8.21,21100.25,12.56,-,88.99,9.79,-,-,-,-,-,-,-,-
2015-01-20,-6.98,2.87,-0.86,6.79,8.20,20553.76,12.21,-,90.85,9.99,-,-,-,-,-,-,-,-
2015-01-21,-0.55,15.90,-3.78,6.84,8.19,20342.19,12.07,-,94.60,10.40,-,-,-,-,-,-,-,-
2015-01-22,-8.05,13.23,-1.55,6.75,8.18,18230.52,10.73,-,100.53,11.17,-,-,-,-,-,-,-,-
2015-01-23,-27.45,15.43,-2.19,6.45,8.17,16626.45,9.71,-,103.12,11.62,-,-,-,-,-,-,-,-
2015-01-24,0.29,2.43,-2.97,6.26,8.12,15113.11,8.75,-,95.26,10.85,-,-,-,-,-,-,-,-
2015-01-25,-17.99,5.09,-0.21,6.75,8.13,15905.24,9.26,-,98.71,11.08,-,-,-,-,-,-,-,-
2015-01-26,12.73,29.13,-7.12,6.98,8.12,15393.31,8.94,-,97.59,10.91,-,-,-,-,-,-,-,-
2015-01-27,-3.28,24.60,-4.52,6.31,8.10,11921.25,6.79,-,94.49,10.89,-,-,-,-,-,-,-,-
2015-01-28,8.70,16.55,-3.43,6.79,8.05,17225.16,10.09,-,92.31,10.29,-,-,-,-,-,-,-,-
2015-01-29,1.71,7.72,-2.77,6.56,8.03,14664.83,8.49,-,88.71,10.05,-,-,-,-,-,-,-,-
2015-01-30,-15.11,6.47,0.09,6.64,7.99,11928.20,6.80,-,86.75,9.92,-,-,-,-,-,-,-,-
2015-01-31,-8.47,27.83,-3.05,7.25,8.00,13367.16,7.69,-,89.63,10.04,-,-,-,-,-,-,-,-
